Animal ID,Animal Name
0,Squirrelfish
1,Grouper
2,Sea Turtle
3,Trumpetfish
4,Congers
5,Baracuda
6,Eagle Ray
7,Nurse Shark
8,Saddleback Fish
9,Angelfish
10,Parrotfish
11,Boxfish
12,Damselfish
13,Porgies
14,Soft Coral
15,Goatfish
16,Cuttlefish
17,Jackfish
18,Pufferfish
19,Snapper
20,Scorpionfish
21,Needlefish
22,Tethys Fish
23,Seaslug
24,Chaetonotids
25,Horseshoe Crabs
26,Requiem Sharks
27,Flatfish
28,Stingray
29,Perch Family
30,Lobster
31,Cod Family
32,Cancer Crabs
33,Spider Crab
34,Sponges
35,Luidia
36,Eel
37,Catsharks
38,Sturgeon
39,Cichlids
40,Thresher Shark
41,Surgeonfish
42,Elapids
43,Eals
44,Wrasse
45,Flounder
46,Grunts
47,Octopus
48,Sculpins
49,King Crabs
50,Gobies
51,Mussles
52,Moon Jellyfish
53,Sea Stars
54,Sunfish
55,Dreissenid Mussels
56,Drums
57,Batfish
58,Squid
59,Carpet Sharks
60,Starfish
61,Sand Tiger Shark
62,Sole
63,Pinnae
64,Sea Cucumber
65,Sea Anemone
66,Weever Fish
67,Fanworms
68,Cardinalfish
69,Pike
70,Hermit Crab
71,Wolf Fish
72,Pipefish
73,Butterflyfish
74,Carps And Minnows
75,Moray Eel
76,Rockfish
77,Heart Urchins
78,Squat Lobster
79,Scallops
80,Whaleshark
81,Cod
82,Skates
83,Saber-Toothed Blennies
84,Tigerfish
85,Leatherjacket Fish
86,Swimming Crabs
87,Box Crabs
88,Toadfish
89,Anglerfish
90,Remora
91,Calycid Fishes
92,Rhinid Fish
93,Hammerhead Shark
94,African Tetras
95,Clionid Sponges
96,Mullet
97,Seahorse Family
98,Metridid Fish
99,Crawfish
100,Dorid Nudibranchs
101,Bullhead Sharks
102,Pistol Shrimp
103,Snapping Shrimp
104,Sea Sponges
105,Blennies
106,Limpets
107,Redfish
108,Star Corals
109,Dendronotid Nudibranchs
110,Portuguese Man O War
111,Fireworms
112,Pencilfish
113,Cockatoo Cuttlefish
114,Mantis Shrimp
115,Fire Corals
116,Sixgill Sharks
117,Glassfish
118,Sawfish
119,Sandperch
120,Pencil Fish
121,Flatheads
122,Tarpon
123,Gorgonian Corals
124,Lizardfish
125,Bonefish
126,Mackerel
127,Frogfish
128,Prawns
129,Oweniid Worms
130,Brain Coral
131,Sea Urchin
132,Mud Crabs
133,Oceanic Whitetip Shark
134,Chimeras
135,Coral Trout
136,Cassididae
137,Moon Snails
138,Brittlestars
139,Basslets
140,Zoanthids
141,Sea Fans
142,Cleaner Shrimp
143,Discosoma Corals
144,Cowries
145,Serpulid Worms
146,Eledonid Fish
147,Cow Sharks
148,Surfperches
149,Paddlefish
150,Parachute Fish
151,Sweeper Fish
152,Stonefish
153,Irciniid Sponges
154,Dottybacks
155,Round Stingrays
156,Bobtail Squid
157,Round Rays
158,Dolphins
159,Rabbitfish
160,Organ-Pipe Corals
161,Cockles
162,Triplefin Blennies
163,Herring
164,Guitarfish
165,Flatworm
166,Clingfish
167,Staghorn Coral
168,Sticklebacks
169,Numbfish
170,Basket Stars
171,Pricklebacks
172,Cusk Eels
173,Antarctic Rockcods
174,Sunflower Stars
175,Firefly Squids
176,Longfin
177,Lanternsharks
178,Lumpfish
179,Houndsharks
180,Abalone
181,Eared Seals
182,Rocklings
183,Sand Lances
184,Crown-Of-Thorns Starfish
185,Salmon Family
186,Corallimorphs
187,Pelicans
188,Ghostpipefish
189,Janolids
190,Feather Stars
191,Dragonets
192,Mushroom Corals
193,Manatee
194,Razor Clams
195,Dromiid Crabs
196,Blenny
197,Shrimp
198,Basket Star
199,Pandeid Shrimps
200,Coral Reef Fish
201,Black Coral
202,Whelks
203,Emydid Turtles
204,Ophidiasteridae
205,Sea Spiders
206,Bamboo Shark
207,Hogfish
208,Stargazers
209,Tube-Dwelling Anemones
210,Deepsea Smelts
211,Schizopids
212,Snailfish
213,Glaucostegid Fishes
214,Seastars
215,Clam Shrimp
216,Dysideid Sponges
217,Biemnid Fish
218,Angelshark
219,Silversides
220,Electric Ray
221,Chondrosidae
222,Porcelain Crabs
223,Tripedaliid Jellyfish
224,Penaeid Shrimp
225,Terebellid Worms
226,Flying Fish
227,Stony Corals
228,Golfish
229,John Dory
230,Flying Gurnard
231,Upside-Down Jellyfish
232,Sergestid Shrimp
233,Cepheid Fish
234,Land Hermit Crabs
235,Oysters
236,Stylasteridae
237,Mitrocomids
238,Carpiliid Crabs
239,Dendrophylliid Corals
240,Mackerel Sharks
241,Berycids
242,Carpet Anemones
243,Seahorse
244,Sea Squirts
245,Sea Hares
246,Mola Fish
247,Aegirids
248,Cup Corals
249,Leptastrea Fish
250,Opah
251,Sea Pens
252,Spirastrellid Sponges
253,Crambe Fish
254,Bitterlings
255,Sleeper Gobies
256,Glass Squids
257,Tree Dorids
258,Plagusiid Crabs
259,Tropical Anglerfish
260,Samarid Fish
261,Dwarf Sculpins
262,Emperor Fish
263,Lanternfish
264,Kelp
265,Cormorant
266,Myrrhine Fish
267,Bolinopsid Fishes
268,Hawkfish
269,Carpet Corals
270,Nereid Worms
271,Filefish
272,Squillids
273,Bubblers
274,Corynid Fish
275,Ranafish
276,Pacu
277,Abylid Fish
278,Rorquals
279,Bigeyes
280,Lobophyllia Corals
281,Soleidae
282,Glass Sponges
283,Synaptids
284,Cray Fish
285,Clathrinid Eels
286,Bonelliid Rays
