Animal Name,Representative Name
Squirrelfish,Squirrelfish
Groupers,Grouper
Grouper,Grouper
Sea turtles,Sea Turtle
Sea turtle,Sea Turtle
Trumpetfish,Trumpetfish
Trumpet fish,Trumpetfish
Congers,Congers
Barracudas,Baracuda
Barracuda,Baracuda
Baracuda,Baracuda
Eagle rays,Eagle Ray
Eagle ray,Eagle Ray
Eaglerays,Eagle Ray
Nurse sharks,Nurse Shark
Nurse shark,Nurse Shark
Saddleback fish,Saddleback Fish
Angelfish,Angelfish
Angel fish,Angelfish
Anglerfish,Anglerfish
Parrotfish,Parrotfish
Parrot fish,Parrotfish
Boxfish,Boxfish
Boxfishes,Boxfish
Damselfish,Damselfish
Damsel fish,Damselfish
Damselfishes,Damselfish
Porgies,Porgies
Soft corals,Soft Coral
Soft coral,Soft Coral
Goatfish,Goatfish
Cuttlefish,Cuttlefish
Cuttle fish,Cuttlefish
Jackfish,Jackfish
Pufferfish,Pufferfish
Puffer fish,Pufferfish
Snapper,Snaper
Snappers,Snaper
Snaper,Snaper
Scorpionfish,Scorpionfish
Scorpionfishes,Scorpionfish
Needlefish,Needlefish
Tethys fish,Tethys Fish
Sea slugs,Seaslug
Sea slug,Seaslug
Seaslug,Seaslug
Chaetonotids,Chaetonotids
Horseshoe crabs,Horseshoe Crabs
Horse shoe crab,Horseshoe Crabs
Requiem sharks,Requiem Sharks
Flatfish,Flatfish
Flatfishes,Flatfish
Stingrays,Stingray
Sting rays,Stingray
Stingray,Stingray
Sting ray,Stingray
Perch family,Perch Family
Lobster,Lobster
Lobsters,Lobster
Cod family,Cod Family
Cancer crabs,Cancer Crabs
Spider crabs,Spider Crab
Spider crab,Spider Crab
Sponges,Sponges
Luidia,Luidia
Eels,Eel
Eel,Eel
Catsharks,Catsharks
Sturgeons,Sturgeon
Sturgeon,Sturgeon
Cichlids,Cichlids
Thresher sharks,Thresher Shark
Thresher shark,Thresher Shark
Surgeonfish,Surgeonfish
Surgeonfishes,Surgeonfish
Elapids,Elapids
Seals,Seal
Seal,Seal
Wrasses,Wrasse
Wrasse,Wrasse
Flounders,Flounder
Flounder,Flounder
Grunts,Grunts
Grunters,Grunts
Octopuses,Octopus
Octopus,Octopus
Sculpins,Sculpins
King crabs,King Crabs
Gobies,Gobies
Mussels,Mussels
Mussles,Mussels
Eelpouts,Eelpouts
Moon jellyfish,Moon Jellyfish
Sand stars,Sea Stars
Sea stars,Seastars
Sunfish,Sunfish
Dreissenid mussels,Dreissenid Mussels
Drums,Drums
Megalodon,Megalodon
Catfish,Catfish
Cat fish,Catfish
Batfish,Catfish
Squid,Squid
Carpet sharks,Carpet Sharks
Starfish,Starfish
Starfishes,Starfish
Sand tiger sharks,Sand Tiger Shark
Sand tiger shark,Sand Tiger Shark
Soles,Sole
Sole,Sole
Pinnae,Pinnae
Sea cucumbers,Sea Cucumber
Sea cucumber,Sea Cucumber
Sea anemones,Sea Anemone
Sea anemone,Sea Anemone
Sea anemone fish,Sea Anemone
Weever fish,Weever Fish
Fanworms,Fanworms
Cardinalfish,Cardinalfish
Cardinal fish,Cardinalfish
Pike,Pike
Hermit crabs,Hermit Crab
Hermit crab,Hermit Crab
Wolf fish,Wolf Fish
Pipefish,Pipefish
Butterflyfish,Butterflyfish
Carps and minnows,Carps And Minnows
Moray eels,Moray Eel
Moray eel,Moray Eel
Morey eels,Moray Eel
Morey eel,Moray Eel
Rockfish,Rockfish
Rock fish,Rockfish
Heart urchins,Heart Urchins
Squat lobsters,Squat Lobster
Squat lobster,Squat Lobster
Scallops,Scallops
Whale sharks,Whaleshark
Whale shark,Whaleshark
Whalesharks,Whaleshark
Whaleshark,Whaleshark
Cods,Cod
Cod,Cod
Skates,Skates
Saber-toothed blennies,Saber-Toothed Blennies
Triggerfish,Tigerfish
Tigerfish,Tigerfish
Leatherjacket fish,Leatherjacket Fish
Eel blennies,Eel Blennies
Swimming crabs,Swimming Crabs
Box crabs,Box Crabs
Boxer crabs,Box Crabs
Toadfish,Toadfish
Toad fish,Toadfish
Toadfishes,Toadfish
Remoras,Remora
Remora,Remora
Calycid fishes,Calycid Fishes
