Animal Name,Representative Name
Squirrelfish,Squirrelfish
Grouper,Grouper
groupers,Grouper
Groupers,Grouper
Sea Turtles,Sea Turtle
Sea turtles,Sea Turtle
Sea turtle,Sea Turtle
Trumpet fish,Trumpetfish
Trumpetfish,Trumpetfish
trumpetfish,Trumpetfish
Congers,Congers
Barracuda,Baracuda
Baracuda,Baracuda
Barracudas,Baracuda
Eagle Rays,Eagle Ray
Eaglerays,Eaglerays
Eagle rays,Eagle Ray
eagle rays,Eagle Ray
Eagle ray,Eagle Ray
nurse shark,Nurse Shark
Nurse sharks,Nurse Shark
Nurse Sharks,Nurse Shark
Nurse Shark,Nurse Shark
Saddleback fish,Saddleback Fish
angelfish,Angelfish
Angel fish,Angelfish
Angelfish,Angelfish
Anglerfish,Anglerfish
parrotfish,Parrotfish
Parrot fish,Parrotfish
Parrotfish,Parrotfish
boxfish,Boxfish
Boxfishes,Boxfish
Boxfish,Boxfish
Damselfishes,Damselfish
damsel fish,Damselfish
damselfish,Damselfish
Damselfish,Damselfish
Porgies,Porgies
Soft Coral,Soft Coral
Soft corals,Soft Coral
Goatfish,Goatfish
Cuttlefish,Cuttlefish
Cuttle fish,Cuttlefish
Jackfish,Jackfish
Pufferfish,Pufferfish
puffer fish,Pufferfish
Snapper,Snapper
snapper,Snaper
scorpionfish,Scorpionfish
Scorpionfishes,Scorpionfish
Scorpionfish,Scorpionfish
Needlefish,Needlefish
Tethys fish,Tethys Fish
Seaslug,Seaslug
Sea slugs,Seaslug
Chaetonotids,Chaetonotids
Horseshoe crabs,Horseshoe Crabs
Requiem sharks,Requiem Sharks
Flatfish,Flatfish
Flatfishes,Flatfish
Sting ray,Stingray
Stingray,Stingray
Sting Rays,Stingray
Stingrays,Stingray
Perch family,Perch Family
Lobsters,Lobster
Lobster,Lobster
Cod family,Cod Family
Cancer crabs,Cancer Crabs
Spider crab,Spider Crab
Spider crabs,Spider Crab
sponges,Sponges
Sponges,Sponges
Luidia,Luidia
Eel,Eel
Eels,Eel
Catsharks,Catsharks
Sturgeon,Sturgeon
Sturgeons,Sturgeon
Cichlids,Cichlids
Thresher Shark,Thresher Shark
Thresher shark,Thresher Shark
Thresher sharks,Thresher Shark
Surgeonfishes,Surgeonfish
surgeonfish,Surgeonfish
Surgeonfish,Surgeonfish
Elapids,Elapids
eals,Eals
Seals,Eals
Seal,Eals
Wrasse,Wrasse
Wrasses,Wrasse
wrasses,Wrasse
Flounders,Flounder
Flounder,Flounder
flounders,Flounder
Grunts,Grunts
Grunters,Grunts
Octopuses,Octopus
octopuses,Octopus
Octopus,Octopus
Sculpins,Sculpins
King crabs,King Crabs
Gobies,Gobies
Mussles,Mussles
Mussels,Mussles
Eelpouts,Eel
Moon jellyfish,Moon Jellyfish
Sand stars,Sea Stars
Sea stars,Seastars
Sunfish,Sunfish
Dreissenid mussels,Dreissenid Mussels
Drums,Drums
Batfish,Batfish
Catfish,Batfish
catfish,Batfish
Squid,Squid
Carpet sharks,Carpet Sharks
Starfish,Starfish
Starfishes,Starfish
Sand tiger shark,Sand Tiger Shark
Sand tiger sharks,Sand Tiger Shark
Soles,Sole
Sole,Sole
Pinnae,Pinnae
Sea cucumbers,Sea Cucumber
Sea cucumber,Sea Cucumber
Sea anemone,Sea Anemone
Sea anemones,Sea Anemone
Sea anemone fish,Sea Anemone
Weever fish,Weever Fish
Fanworms,Fanworms
Cardinalfish,Cardinalfish
