ID,Animal Name,Animal ID
4,Manta Ray,475
6,Frogfish,127
6,Parrotfish,10
6,Scorpionfish,20
6,Butterflyfish,73
6,Snaper,476
6,Wrasse,44
14,Cowfish,477
14,Surgeonfish,41
14,Boxfish Pufferfish,478
14,Goatfish,15
14,Tigerfish,84
14,Butterflyfish,73
14,Parrotfish,10
14,Sea Urchin,131
14,Sea Cucumber,64
14,Octopus,47
14,Squid,58
14,Crab,299
19,Sea Urchin,131
19,Nudibranch,479
26,Frogfish,127
26,Jackfish,17
26,Trumpetfish Pipefish,480
26,Rays,481
26,Eel,36
26,Octopus,47
26,Coral,482
26,Sea Anemone,65
27,Weedy Sea Dragon,483
27,Wobbegong Shark,484
27,Grey Nurse Shark,485
27,Port Jackson Shark,486
29,Baracuda,5
29,Cowfish,477
29,Grouper,1
29,Parrotfish,10
29,Angelfish,9
29,Bannerfish,487
29,Tigerfish,84
29,Butterflyfish,73
29,Pipefish,72
29,Hawksbill Turtle,488
29,Moray Eel,75
29,Brain Coral,130
29,Coral,482
29,Sea Anemone,65
29,Jellyfish,489
40,Seahorse,243
40,Whitetip Reef Shark,490
40,Sea Turtle,2
40,Octopus,47
41,Angelfish,9
41,Sea Turtle,2
41,Octopus,47
44,Weedy Sea Dragon,483
44,Blue Groper,491
44,Red Indian Fish,492
44,Eastern Blue Devil Fish,493
48,Fish,494
49,Eagle Ray,6
49,Stingray,28
49,Moray Eel,75
49,Crayfish,495
50,Seahorse,243
50,Stingray,28
50,Octopus,47
50,Crab,299
52,Grouper,1
52,Butterflyfish,73
52,Sea Turtle,2
52,Wrasse,44
60,Baracuda,5
60,Stonefish,152
60,Frogfish,127
60,Cowfish,477
60,Seahorse,243
60,Scorpionfish,20
60,Lionfish,496
60,Trumpetfish Pipefish,480
60,Angelfish,9
60,Sea Snake,497
60,Sea Cucumber,64
60,Giant Cuttlefish,498
60,Shrimp,197
60,Nudibranch,479
60,Crab,299
60,Sea Anemone,65
62,Parrotfish,10
62,Whitetip Reef Shark,490
62,Sea Turtle,2
62,Eel,36
62,Nudibranch,479
64,Seahorse,243
65,Leaffish,499
65,Jackfish,17
65,Baracuda,5
65,Napoleon Fish,500
65,Whitetip Reef Shark,490
65,Blacktip Reef Shark,501
65,Grey Sharks,502
65,Silvertip Shark,503
65,Eagle Ray,6
65,Nudibranch,479
65,Salpe,504
65,Octopus,47
65,Mobula Ray,505
77,Turtle,506
77,Giant Cuttlefish,498
84,Weedy Sea Dragon,483
84,Giant Cuttlefish,498
84,Blue Groper,491
84,Wobbegong Shark,484
86,Frogfish,127
86,Octopus,47
86,Reef Fish Scorpionfish,507
86,Boxfish,11
86,Pufferfish,18
86,Surgeonfish,41
86,Angelfish,9
86,Bannerfish,487
86,Tigerfish,84
86,Parrotfish,10
86,Trumpetfish,3
86,Pipefish,72
86,Cowfish,477
86,Sweetlips,508
86,Snaper,476
86,Grouper,1
86,Lionfish Etc,509
86,Cuttlefish,16
86,Comet Fish,510
86,Shrimp,197
86,Nudibranch,479
88,Stingray,28
88,Sea Turtle,2
88,Baracuda,5
101,Tiger Shark,511
101,Lemon Shark,512
108,Parrotfish,10
108,Boxfish Pufferfish,478
108,Rays,481
108,Starfish,60
108,Nudibranch,479
108,Reef Fish,513
109,Octopus,47
110,Baracuda,5
110,Seahorse,243
110,Octopus,47
110,Squid,58
112,Weedy Sea Dragon,483
112,Giant Cuttlefish,498
112,Blue Groper,491
113,Bream,514
113,Moray Eel,75
113,Batfish,57
113,Cuttlefish,16
113,Wobbegong Shark,484
113,Old Wive,515
114,Giant Cuttlefish,498
114,Blue Groper,491
114,Port Jackson Shark,486
114,Wobbegong Shark,484
115,Wobbegong Shark,484
117,Whitetip Reef Shark,490
117,Grey Reef Shark,516
117,Cod,81
119,Baracuda,5
119,Jackfish,17
122,Seahorse,243
122,Stingray,28
122,Eals,43
122,Octopus,47
122,Nudibranch,479
122,Octopus,47
123,Stingray,28
123,Moray Eel,75
123,Octopus,47
123,Damselfish,12
124,Trout,517
125,Pelagic Fish,518
125,Goatfish,15
125,Grouper,1
125,Frogfish,127
125,Fish,494
125,Rays,481
125,Stingray,28
125,Cownose Ray,519
125,Electric Ray,220
125,Common Dolphin,520
125,Sea Urchin,131
125,Starfish,60
125,Moray Eel,75
125,Nudibranch,479
125,Shrimp,197
125,Giant Cuttlefish,498
125,Crayfish,495
125,Octopus,47
125,Squid,58
125,Coral,482
130,Stonefish,152
130,Scorpionfish,20
130,Sea Turtle,2
130,Giant Cuttlefish,498
138,Cowfish,477
138,Butterflyfish,73
321,Freshwater Fish,521
369,Eals,43
369,Lobster,30
369,Nudibranch,479
369,Crab,299
371,Eals,43
371,Octopus,47
371,Nudibranch,479
374,Eals,43
374,Lobster,30
374,Octopus,47
374,Crab,299
399,Tigerfish,84
399,Baracuda,5
399,Frogfish,127
399,Butterflyfish,73
399,Parrotfish,10
399,Scorpionfish,20
399,Angelfish,9
399,Eagle Ray,6
399,Sea Urchin,131
399,Eel,36
399,Lobster,30
399,Crab,299
399,Shrimp,197
588,Turtle,506
632,Grouper,1
632,Scorpionfish,20
632,Lionfish,496
632,Honeycomb Moray,522
632,Octopus,47
632,Nudibranch,479
1939,Freshwater Fish,521
1940,Freshwater Fish,521
1941,Freshwater Fish,521
1942,Eel,36
1942,Coral,482
1942,Reef Fish,513
1943,Starfish,60
1943,Lobster,30
1943,Octopus,47
1943,Nudibranch,479
1943,Reef Fish,513
1944,Fish,494
1944,Sharks,523
1944,Nudibranch,479
1945,Pelagic Fish,518
1945,Sharks,523
1945,Turtle,506
1945,Coral,482
1945,Reef Fish,513
