"column_name","data_type","ordinal_position","is_nullable"
"id","bigint","1","NO"
"title","text","2","YES"
"lat","double precision","3","YES"
"long","double precision","4","YES"
"description","text","5","YES"
"image_url","text","6","YES"
"url","text","7","YES"
"max_depth","text","8","YES"
"region","text","9","YES"
"cluster","text","10","YES"
"Fjord","boolean","11","YES"
"Muck","boolean","12","YES"
"Sea Loch","boolean","13","YES"
"Spring","boolean","14","YES"
"Pool","boolean","15","YES"
"Archaeological","boolean","16","YES"
"Quarry","boolean","17","YES"
"Pinnacle","boolean","18","YES"
"Cavern","boolean","19","YES"
"River","boolean","20","YES"
"Sandy bottom","boolean","21","YES"
"Lake","boolean","22","YES"
"Ocean","boolean","23","YES"
"Channel","boolean","24","YES"
"Cave","boolean","25","YES"
"Drift","boolean","26","YES"
"Wall","boolean","27","YES"
"Beach","boolean","28","YES"
"Reef","boolean","29","YES"
"Wreck","boolean","30","YES"
"Spider Crab","boolean","31","YES"
"Ribbon Eel","boolean","32","YES"
"Chondrichthyes","boolean","33","YES"
"Jellyfish","boolean","34","YES"
"Moray Eel","boolean","35","YES"
"Requiem Sharks","boolean","36","YES"
"Stingray","boolean","37","YES"
"Emperor Fish","boolean","38","YES"
"Dolphins","boolean","39","YES"
"Lizardfish","boolean","40","YES"
"Ray","boolean","41","YES"
"Trumpetfish Pipefish","boolean","42","YES"
"Eel Blennies","boolean","43","YES"
"Sponges","boolean","44","YES"
"Skates","boolean","45","YES"
"Sicyoniid Shrimp","boolean","46","YES"
"Serpulid Worms","boolean","47","YES"
"Eel","boolean","48","YES"
"Coral","boolean","49","YES"
"Sculpins","boolean","50","YES"
"Weedy Sea Dragon","boolean","51","YES"
"Wobbegong Shark","boolean","52","YES"
"Longfin","boolean","53","YES"
"Carpet Sharks","boolean","54","YES"
"Bullhead Sharks","boolean","55","YES"
"Bigeyes","boolean","56","YES"
"Sand Tiger Shark","boolean","57","YES"
"Flatheads","boolean","58","YES"
"Prawns","boolean","59","YES"
"Hermit Crab","boolean","60","YES"
"Rabbitfish","boolean","61","YES"
"Fanworms","boolean","62","YES"
"Eared Seals","boolean","63","YES"
"Sea Sponges","boolean","64","YES"
"Feather Stars","boolean","65","YES"
"Dugongs","boolean","66","YES"
"Carps And Minnows","boolean","67","YES"
"Razor Clams","boolean","68","YES"
"Poachers","boolean","69","YES"
"Cownose Ray","boolean","70","YES"
"Manta","boolean","71","YES"
"Juvenile Fish Macro","boolean","72","YES"
"Chaetonotids","boolean","73","YES"
"Irciniid Sponges","boolean","74","YES"
"Blennies","boolean","75","YES"
"Nurse Shark","boolean","76","YES"
"Soldierfish","boolean","77","YES"
"Lung Snails","boolean","78","YES"
"Chubs","boolean","79","YES"
"Myrrhine Fish","boolean","80","YES"
"Sergestid Shrimp","boolean","81","YES"
"Glassfish","boolean","82","YES"
"Aegirids","boolean","83","YES"
"Soft Coral","boolean","84","YES"
"Stylasteridae","boolean","85","YES"
"Crambe Fish","boolean","86","YES"
"Bonytongues","boolean","87","YES"
"Oysters","boolean","88","YES"
"Rudd","boolean","89","YES"
"Placosponges","boolean","90","YES"
"Baars","boolean","91","YES"
"Roncadores","boolean","92","YES"
"Manatee Dugong","boolean","93","YES"
"Seahorse Family","boolean","94","YES"
"Flounder","boolean","95","YES"
"Eagle Ray","boolean","96","YES"
"Sea Anemone","boolean","97","YES"
"Sea Turtle","boolean","98","YES"
"Jackfish","boolean","99","YES"
"Grouper","boolean","100","YES"
"Dorid Nudibranchs","boolean","101","YES"
"Scorpionfish","boolean","102","YES"
"Mackerel","boolean","103","YES"
"Mantis Shrimp","boolean","104","YES"
"Coral Trout","boolean","105","YES"
"Snaper","boolean","106","YES"
"Boxfish","boolean","107","YES"
"Trumpetfish","boolean","108","YES"
"Congers","boolean","109","YES"
"Baracuda","boolean","110","YES"
"Saddleback Fish","boolean","111","YES"
"Angelfish","boolean","112","YES"
"Parrotfish","boolean","113","YES"
"Goatfish","boolean","114","YES"
"Damselfish","boolean","115","YES"
"Cuttlefish","boolean","116","YES"
"Butterflyfish","boolean","117","YES"
"Gobies","boolean","118","YES"
"Grunts","boolean","119","YES"
"Wrasse","boolean","120","YES"
"Mushroom Corals","boolean","121","YES"
"Cleaner Shrimp","boolean","122","YES"
"Mola Fish","boolean","123","YES"
"Hawkfish","boolean","124","YES"
"Cardinalfish","boolean","125","YES"
"Saber-Toothed Blennies","boolean","126","YES"
"Leatherjacket Fish","boolean","127","YES"
"Tigerfish","boolean","128","YES"
"Carpet Anemones","boolean","129","YES"
"Squirrelfish","boolean","130","YES"
"Ghostpipefish","boolean","131","YES"
"Stonefish","boolean","132","YES"
"Surgeonfish","boolean","133","YES"
"Pufferfish","boolean","134","YES"
"Porcelain Crabs","boolean","135","YES"
"Tropical Anglerfish","boolean","136","YES"
"Pencil Fish","boolean","137","YES"
"Cone Snails","boolean","138","YES"
"Seaslug","boolean","139","YES"
"Manta Ray","boolean","140","YES"
"Fireworms","boolean","141","YES"
"Octopus","boolean","142","YES"
"Flatfish","boolean","143","YES"
"Porgies","boolean","144","YES"
"Halfbeaks","boolean","145","YES"
"Frogfish","boolean","146","YES"
"Squid","boolean","147","YES"
"Paddlefish","boolean","148","YES"
"Salmon Family","boolean","149","YES"
"Needlefish","boolean","150","YES"
"Pistol Shrimp","boolean","151","YES"
"Staghorn Coral","boolean","152","YES"
"Stony Corals","boolean","153","YES"
"Sole","boolean","154","YES"
"Lobophyllia Corals","boolean","155","YES"
"Seastars","boolean","156","YES"
"Box Crabs","boolean","157","YES"
"Sea Cucumber","boolean","158","YES"
"Sea Urchin","boolean","159","YES"
"Cowfish","boolean","160","YES"
"Boxfish Pufferfish","boolean","161","YES"
"Crab","boolean","162","YES"
"Drums","boolean","163","YES"
"Starfish","boolean","164","YES"
"Cod","boolean","165","YES"
"Lobster","boolean","166","YES"
"Sunfish","boolean","167","YES"
"Pike","boolean","168","YES"
"Pipefish","boolean","169","YES"
"Tethys Fish","boolean","170","YES"
"Pencilfish","boolean","171","YES"
"Cusk Eels","boolean","172","YES"
"Remora","boolean","173","YES"
"Swimming Crabs","boolean","174","YES"
"Nudibranch","boolean","175","YES"
"Cancer Crabs","boolean","176","YES"
"Moon Jellyfish","boolean","177","YES"
"Gorgonian Corals","boolean","178","YES"
"Brain Coral","boolean","179","YES"
"Rockfish","boolean","180","YES"
"Tarpon","boolean","181","YES"
"Flying Gurnard","boolean","182","YES"
"Oplophid Shrimp","boolean","183","YES"
"Acanthephyrid Shrimp","boolean","184","YES"
"Round Stingrays","boolean","185","YES"
"Whaleshark","boolean","186","YES"
"Hawksbill Turtle","boolean","187","YES"
"Crown-Of-Thorns Starfish","boolean","188","YES"
"Elapids","boolean","189","YES"
"Bannerfish","boolean","190","YES"
"Perch Family","boolean","191","YES"
"Basslets","boolean","192","YES"
"Lates","boolean","193","YES"
"Dendrophylliid Corals","boolean","194","YES"
"Guitarfish","boolean","195","YES"
"Numbfish","boolean","196","YES"
"Cycloteuthid Squids","boolean","197","YES"
"Angelshark","boolean","198","YES"
"Whitetip Reef Shark","boolean","199","YES"
"Seahorse","boolean","200","YES"
"Cockatoo Cuttlefish","boolean","201","YES"
"Berycids","boolean","202","YES"
"Basket Star","boolean","203","YES"
"Hakes","boolean","204","YES"
"Cyttid Fish","boolean","205","YES"
"Mullet","boolean","206","YES"
"Fish","boolean","207","YES"
"Bolinopsid Fishes","boolean","208","YES"
"Sea Pens","boolean","209","YES"
"Shrimp","boolean","210","YES"
"Crawfish","boolean","211","YES"
"Blenny","boolean","212","YES"
"Bonefish","boolean","213","YES"
"Land Hermit Crabs","boolean","214","YES"
"Horseshoe Crabs","boolean","215","YES"
"Flatworm","boolean","216","YES"
"Sweeper Fish","boolean","217","YES"
"Sixgill Sharks","boolean","218","YES"
"Spirastrellid Sponges","boolean","219","YES"
"Brittle Star","boolean","220","YES"
"Pinnae","boolean","221","YES"
"Rhinid Fish","boolean","222","YES"
"Giant Cuttlefish","boolean","223","YES"
"Sea Snake","boolean","224","YES"
"Lionfish","boolean","225","YES"
"Boobies And Gannets","boolean","226","YES"
"Frigatebirds","boolean","227","YES"
"Dwarf Sculpins","boolean","228","YES"
"Napoleon Fish","boolean","229","YES"
"Silvertip Shark","boolean","230","YES"
"Blacktip Shark","boolean","231","YES"
"Mobula Ray","boolean","232","YES"
"Salpe","boolean","233","YES"
"Hammerhead Shark","boolean","234","YES"
"Leaffish","boolean","235","YES"
"Turtle","boolean","236","YES"
"Weever Fish","boolean","237","YES"
"Bitterlings","boolean","238","YES"
"Sea Squirts","boolean","239","YES"
"Sleeper Gobies","boolean","240","YES"
"Firefly Squids","boolean","241","YES"
"Surfperches","boolean","242","YES"
"Toadfish","boolean","243","YES"
"Jawfish","boolean","244","YES"
"Cockles","boolean","245","YES"
"Lemon Shark","boolean","246","YES"
"Tiger Shark","boolean","247","YES"
"Bream","boolean","248","YES"
"Catfish","boolean","249","YES"
"Gray Reef Shark","boolean","250","YES"
"Bluering Octopus","boolean","251","YES"
"Seal","boolean","252","YES"
"Round Rays","boolean","253","YES"
"Trout","boolean","254","YES"
"Common Dolphin","boolean","255","YES"
"Electric Ray","boolean","256","YES"
"Eel-Tailed Catfish","boolean","257","YES"
"Fire Corals","boolean","258","YES"
"Sea Fan","boolean","259","YES"
"Brown Algae","boolean","260","YES"
"Clionid Sponges","boolean","261","YES"
"Scallops","boolean","262","YES"
"Dogfish","boolean","263","YES"
"Cod Family","boolean","264","YES"
"Polybiid Eels","boolean","265","YES"
"Eledonid Fish","boolean","266","YES"
"Cormorant","boolean","267","YES"
"John Dory","boolean","268","YES"
"Antarctic Rockcods","boolean","269","YES"
"Squat Lobster","boolean","270","YES"
"Megalodon","boolean","271","YES"
"Oceanic Whitetip Shark","boolean","272","YES"
"Sea Worms","boolean","273","YES"
"Cichlids","boolean","274","YES"
"Luidia","boolean","275","YES"
"Houndsharks","boolean","276","YES"
"Stargazers","boolean","277","YES"
"Dragonets","boolean","278","YES"
"Bobtail Squid","boolean","279","YES"
