Library,Size (MB)
Flask-Cors,0.0
Flask-Migrate,0.0
GitPython,0.0
Mako,0.6022634506225586
MarkupSafe,0.05062580108642578
PuLP,37.97263526916504
PyJWT,0.0
PyMySQL,0.3010425567626953
PyYAML,0.0
SQLAlchemy,16.59648036956787
StrEnum,0.03837108612060547
ace-tools,0.0
aiohappyeyeballs,0.03807640075683594
aiohttp,2.2327966690063477
aiosignal,0.002719879150390625
alembic,1.8986215591430664
altair,8.365487098693848
annotated-types,0.0
anyio,1.149001121520996
asttokens,0.12379932403564453
async-timeout,0.0
attrs,0.011141777038574219
backcall,0.06476020812988281
bcrypt,0.29186534881591797
beautifulsoup4,0.0
bleach,1.2758512496948242
blinker,0.05322551727294922
bs4,1.1306571960449219
build,0.1196441650390625
cachecontrol,0.10427188873291016
cachetools,0.0773477554321289
captcha,0.1751852035522461
certifi,0.28961181640625
cffi,0.7528867721557617
charset-normalizer,0.0
cleo,0.5603733062744141
click,0.7551708221435547
colorama,0.14177703857421875
comm,0.02514171600341797
contourpy,0.7028493881225586
crashtest,0.027818679809570312
cryptography,8.817242622375488
cycler,0.037835121154785156
debugpy,30.742643356323242
decorator,0.0
defusedxml,0.0693197250366211
deprecation,0.0
distlib,1.5333824157714844
distro,0.10067367553710938
docopt,0.0
dulwich,2.690958023071289
et-xmlfile,0.0
exceptiongroup,0.08022594451904297
executing,0.1530447006225586
extra-streamlit-components,0.0
fastjsonschema,0.1682577133178711
filelock,0.08120250701904297
flask,0.6676664352416992
flask-sqlalchemy,0.0
fonttools,14.345130920410156
frozenlist,0.0937948226928711
gitdb,0.3636312484741211
gotrue,0.40731334686279297
greenlet,0.8977880477905273
h11,0.3695840835571289
h2,0.42524242401123047
hpack,0.38898468017578125
httpcore,0.5715522766113281
httpx,0.5946865081787109
hyperframe,0.07854175567626953
idna,0.5926685333251953
iniconfig,0.02139759063720703
installer,0.9695377349853516
ipykernel,0.6825084686279297
ipython,5.208710670471191
itsdangerous,0.08658504486083984
jaraco.classes,0.0
jaraco.context,0.0
jaraco.functools,0.0
jedi,5.078312873840332
jinja2,1.100996971130371
jiter,0.4431791305541992
joblib,1.8004150390625
jsonschema,0.8816099166870117
jsonschema-specifications,0.0
jupyter-client,0.0
jupyter-core,0.0
jupyterlab-pygments,0.0
keyring,0.19270610809326172
kiwisolver,0.11974525451660156
kneed,0.048427581787109375
markdown-it-py,0.0
matplotlib,25.882246017456055
matplotlib-inline,0.0
mdurl,0.03336620330810547
mistune,0.3435964584350586
more-itertools,0.0
msgpack,0.22200584411621094
multidict,0.10455703735351562
narwhals,2.3483753204345703
nbclient,0.14648914337158203
nbconvert,0.5732431411743164
nbformat,0.45000457763671875
nest-asyncio,0.0
nltk,10.711451530456543
numpy,28.703402519226074
openai,2.786205291748047
openpyxl,1.837738037109375
packaging,0.4263429641723633
pandas,63.32292175292969
pandocfilters,0.0
parso,0.6253490447998047
patsy,1.4994220733642578
pgvector,0.12428760528564453
pickleshare,0.0
pillow,0.0
pip,10.356328010559082
pipreqs,0.10611438751220703
pkginfo,0.21243762969970703
platformdirs,0.14558982849121094
pluggy,0.1257162094116211
poetry,4.431892395019531
poetry-core,0.0
postgrest,0.1529226303100586
prompt-toolkit,0.0
propcache,0.08234405517578125
protobuf,0.0
psutil,1.9804840087890625
psycopg2,2.570857048034668
psycopg2-binary,0.0
pure-eval,0.0
pyarrow,78.4037914276123
pycparser,1.1412973403930664
pydantic,3.3156871795654297
pydantic-core,0.0
pydeck,13.865245819091797
pygments,7.783226013183594
pyparsing,0.832545280456543
pyproject-hooks,0.0
pytest,0.009486198425292969
python-dateutil,0.0
python-dotenv,0.0
pytz,0.9557657241821289
pywin32,0.0
pywin32-ctypes,0.0
pyzmq,0.0
rapidfuzz,6.133801460266113
realtime,0.13176345825195312
referencing,0.24724864959716797
regex,1.6056852340698242
requests,0.38094425201416016
requests-toolbelt,0.0
rich,1.9988574981689453
rpds-py,0.0
scikit-learn,0.0
scikit-surprise,0.0
scipy,126.32590293884277
seaborn,2.0945653915405273
setuptools,7.878786087036133
shellingham,0.030744552612304688
six,0.0
smmap,0.1280345916748047
sniffio,0.01267242431640625
soupsieve,0.2730274200439453
stack-data,0.0
statsmodels,46.59273624420166
storage3,0.11223602294921875
streamlit,26.058195114135742
streamlit-authenticator,0.0
supabase,0.0763998031616211
supafunc,0.02869129180908203
surprise,7.126143455505371
tenacity,0.15740203857421875
threadpoolctl,0.0
tinycss2,0.20549964904785156
toml,0.10455513000488281
tomlkit,0.35211849212646484
tornado,3.5997514724731445
tqdm,0.3509483337402344
traitlets,0.6367340087890625
trove-classifiers,0.0
typing-extensions,0.0
tzdata,0.49320507049560547
urllib3,0.7972526550292969
virtualenv,4.77188777923584
watchdog,0.45662593841552734
wcwidth,0.5060796737670898
webencodings,0.06283283233642578
websockets,1.0902070999145508
werkzeug,1.5758018493652344
yarg,0.05139732360839844
yarl,0.25682735443115234
autocommand,0.04195594787597656
backports.tarfile,0.0
importlib-metadata,0.0
inflect,0.20755863189697266
jaraco.collections,0.0
jaraco.text,0.0
tomli,0.05522632598876953
typeguard,0.2588472366333008
wheel,0.4215831756591797
zipp,0.04339027404785156
